uname,filename,status,fullname,affil
mahamadun,,,"Mr. Mahamadun Hasan","Physics, Aliah University"
sakshipu,,,"Ms. Sakshi Sharma","Department of Phyiscs, Panjab University"
samiksha,paper329.pdf,Poster,"Ms. Samiksha Sood","Department of Phyiscs, Panjab University"
rajesh,paper180.pdf,Poster,"Mr. Rajesh Ganai"," , GSI Helmholtzzentrum fur Schwerionenforschung GmbH"
vish2491,paper131.pdf,Poster,"Mr. Vishnu  C V","Department of Physics, University of Calicut"
pratipm,paper036.pdf,Poster,"Mr. Pratip Mitra","Radiation Safety Systems Division, Bhabha Atomic Research Centre"
aniket,,,"Mr. Majumdar Aniket","Physics, Jadavpur University"
rajat710,paper049.pdf,Poster,"Mr. Rajat Gupta","Department of Physics, University of Jammu"
surbhi,paper050.pdf,Poster,"Ms. Surbhi Gupta","Department of Physics, University of Jammu"
viren77,paper359.pdf,Poster,"Mr. Virender Thakur","Department of Physics, Himachal Pradesh University"
arun165,,,"Mr. Arun Gupta","Department of Physics, University of Jammu"
ridham4,,,"Ms. Ridham Bakshi","Department of Physics, University of Jammu"
atyagi44,,,"Dr. Ajay Kumar","Department of Physics, Banaras Hindu University"
nilima,paper041.pdf,Poster,"Ms. Indrani Nilima","Centre for Applied Physics, Central University of Jharkhand"
shilpu1404,paper166.pdf,Poster,"Ms. Shilpa Rana","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
jisun,paper095.pdf,Poster,"Ms. Sunita Sahoo","Astroparticle Physics & Cosmology, Saha Institute of Nuclear Physics"
shan1234,paper406.pdf,Poster,"Mr. P.T Muhammed Shan","Department of Physics, University of Calicut"
umakant,,,"Mr. Umakant Lamani","Department of Physics, Indian Institute of Technology Bombay"
aman46582,paper232.pdf,Poster,"Ms. Aman  Deep","Department of Physics, Kurukshetra University"
ranabir,paper030.pdf,Poster,"Mr. Ranabir Banik","Physics Group, Variable Energy Cyclotron Centre"
salmasalma,,,"Ms. R V Salma Ibrahim","Department of Physics, University of Calicut"
rajeshmlpm,paper423.pdf,Poster,"Mr. K.K. Rajesh","Department of Physics, University of Calicut"
venktesh,paper043.pdf,Poster,"Dr. Venktesh Singh","Department of Physics, Banaras Hindu University"
anjali_agg,,,"Ms. Anjali Aggarwal"," , Jagiellonian University"
udai,paper234.pdf,Poster,"Mr. Udai Singh"," , Jagiellonian University"
rajni89,paper014.pdf,ThesisPoster,"Ms.  Rajni","School of Physics & Material Science, Thapar University"
031179,paper051.pdf,Poster,"Mr. Vikas Katoch","Nuclear Physics, Rkgit/ Uptu"
satheesh,paper137.pdf,Poster,"Mr. B. Satheesh","Department of Physics, Mahatma Gandhi. Govt. Arts College"
captain,paper335.pdf,Poster,"Mr. Captain Rituraj Singh","Department of Physics, Birla Institute of Technology & Science"
smukherjee,,,"Dr. Surjit Mukherjee","Department of Physics, The Maharaja Sayajirao University of Baroda"
a.gandhi,paper272.pdf,Poster,"Mr. Aman  Gandhi ","Department of Physics, Banaras Hindu University"
dineshsri,,,"Dr. Dinesh Srivastava","Physics Group, Variable Energy Cyclotron Centre"
arunabhas,paper083.pdf,ThesisPoster,"Dr. Arunabha Saha","Physics Group, Variable Energy Cyclotron Centre"
khamosh,paper229.pdf,Poster,"Ms. Khamosh Yadav","Department of Physics, Indian Institute of Technology Roorkee"
sucheta,paper341.pdf,Poster,"Ms. Sucheta Duhan","Department of Phyiscs, Panjab University"
rajnikant,paper170.pdf,Poster,"Mr. Rajnikant Makwana","Department of Physics, The Maharaja Sayajirao University of Baroda"
ragansidhu,,,"Mr. Ragandeep Singh Sidhu"," , GSI Helmholtzzentrum fur Schwerionenforschung GmbH"
niraj,paper059.pdf,Poster,"Mr. Niraj Kumar Rai","Department of Physics, Banaras Hindu University"
tuhinmalik,paper667.pdf,Poster,"Mr. Tuhin Malik"," , Birla Institute of Technology & Science Pilani"
dhruvm,paper186.pdf,Poster,"Mr. Dhruv Mulmule","Nuclear Physics Division, Bhabha Atomic Research Centre"
amitsarad,paper255.pdf,Poster,"Mr. Amit Kumar"," , govt.college for Women^ Gandhi Nagar^ Jammu^J&K"
harikrish,,,"Mr. N Harikrishnan","Physics, Government Arts College"
mittalhm1,paper065.pdf,Poster,"Dr. H.M. Mittal","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
ravisankar,,,"Prof. Ravi Sankar","Physics, Government Arts College"
vanamali,paper025.pdf,Poster,"Mr. C S Vanamali","Physics Department, Mangalore University"
nupadhyay,paper297.pdf,Poster,"Dr. N. J. Upadhyay","School of Physical Sciences, Um-Dae Centre for Excellence in Basic Sciences"
sidamu,paper183.pdf,Poster,"Mr. Siddharth Parashari","Department of Physics, The Maharaja Sayajirao University of Baroda"
ss168,paper222.pdf,Poster,"Mr. Saket Suman","Physics, Centre for Excellence in Basic Sciences"
d18ph006,paper248.pdf,Poster,"Mr. Rohit Tiwari","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
susnata11,paper067.pdf,Poster,"Ms. Susnata Seth","Astroparticle Physics & Cosmology, Saha Institute of Nuclear Physics"
keval,paper057.pdf,Poster,"Mr. Keval Gandhi","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
deshmukh,paper354.pdf,Poster,"Dr. Nikit Deshmukh","Nuclear Physics Division, Saha Institute of Nuclear Physics"
jaimin,paper185.pdf,Poster,"Mr. Jaimin Acharya","Department of Physics, The Maharaja Sayajirao University of Baroda"
bhoomika,paper071.pdf,Poster,"Ms. Bhoomika Maheshwari"," , Independent Researcher"
viren,paper176.pdf,Poster,"Mr. Virender Ranga","Department of Physics, Indian Institute of Technology Roorkee"
drsuneel,paper074.pdf,Poster,"Prof. Suneel Kumar","Physics, Central University of Haryana"
amanmarley,paper078.pdf,Poster,"Mr. Aman Sharma","Department of Physics, Banaras Hindu University"
shyam,paper334.pdf,Poster,"Mr. Ghnashyam Gupta","Department of Nuclear & Atomic Physics, Tata Institute of Fundamental Research"
jebin,,,"Mr. Jebin Larosh","Department of Physics, Manonmaniam Sundaranar University"
rameez,,,"Mr. Rameez Ahmad Parra","Department of Physics, Jamia Millia Islamia"
sangeeta,paper659.pdf,ThesisPoster,"Ms. Sangeeta Arora","School of Physics & Material Science, Thapar University"
waseem1234,,,"Dr. Waseem Bashir","Department of Physics, Jamia Millia Islamia"
nirmal,paper133.pdf,Poster,"Mr. Nirmal Ray","Technical Physics Division, Bhabha Atomic Research Centre"
amlan,paper190.pdf,Poster,"Dr. Amlan Ray","Experimental Physics Group, Variable Energy Cyclotron Centre"
manojamu76,paper097.pdf,Poster,"Dr. Manoj Sharma"," , S. V. College"
nanda,,,"Mr. Hamid Nanda","Department of Physics, Jamia Millia Islamia"
dukhishyam,paper105.pdf,Poster,"Mr. Dukhishyam Mallick","School of Physical Sciences, National Institute of Science Education and Research"
poonam,paper106.pdf,Poster,"Ms. Poonam Jain","Amity Institute of Nuclear Science and Technology, Amity University^ Noida"
yogesh,paper338.pdf,Poster,"Mr. Yogesh Kumar","Department of Physics, Deshbandhu College^ University of Delhi"
deepshikha,,,"Ms. Deep Shikha","Spms, Thapar University"
kvijaysai,paper109.pdf,Poster,"Dr. K. Vijay Sai","Department of Physics, Sri Sathya Sai Institute of Higher Learning"
arunjain,,,"Dr. Arun K. Jain","Nuclear Physics Division, Bhabha Atomic Research Centre"
chetan01,paper590.pdf,Poster,"Mr. Chetan Sharma","Department of Phyiscs, Panjab University"
afaash,paper135.pdf,Poster,"Mr. Afaash Mohammad","Accelerator Control Division, Bhabha Atomic Research Centre"
acvisakh,paper430.pdf,Poster,"Mr. A.C. Visakh","Department of Physics, Central University of Kerala"
singhkp,,,"Prof. K P Singh","Department of Phyiscs, Panjab University"
kjha454,paper286.pdf,Poster,"Mr. Kanhaiya Jha","Physics, Indian Institute of Technology Ropar"
nazahmad,paper601.pdf,Poster,"Dr. Nazeer Ahmad","Department of Applied Physics, Aligarh Muslim University"
safikul,paper604.pdf,Poster,"Mr. Shaikh Safikul Alam","Physics Group, Variable Energy Cyclotron Centre"
raghav,paper120.pdf,Poster,"Mr. Raghav Chaturvedi","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
shabirdar,paper029.pdf,Poster,"Mr. Shabir Ahmad Dar","Physics Group, Variable Energy Cyclotron Centre"
pwnkumar,paper125.pdf,Poster,"Mr. Pawan Kumar","Physics, Indian Institute of Technology Ropar"
du.neelam,paper471.pdf,Poster,"Ms.  Neelam","Department of Physics & Astrophysics, University of Delhi"
vinodkumar,paper126.pdf,Poster,"Prof. P C Vinodkumar","Department of Physics, Sardar Patel University"
bharti,,,"Dr. Arun Bharti","Department of Physics, University of Jammu"
tanvi,paper134.pdf,Poster,"Ms. Tanvikumari Bhavsar","Department of Physics, Sardar Patel University"
geetika,,,"Ms. Geetika Jain","Department of Physics & Astrophysics, University of Delhi"
khanmohsin,paper416.pdf,Poster,"Dr. M. Mohsin Khan","Department of Applied Physics, Aligarh Muslim University"
ananyak,paper138.pdf,Poster,"Ms. Ananya Kundu","Nuclear Physics Division, Bhabha Atomic Research Centre"
shuaibmohd,paper373.pdf,Poster,"Mr. Mohammad Shuaib","Department of Phyiscs, Aligarh Muslim University"
suhailtali,paper209.pdf,Poster,"Mr. Suhail Ahmad Tali","Department of Phyiscs, Aligarh Muslim University"
shivali,paper215.pdf,Poster,"Ms. Shivali Sharma","Department of Physics, University of Jammu"
drakhan,,,"Dr. Md. Abdul Khan"," , Aliah University"
manjuy904,paper179.pdf,Poster,"Ms. Manju Yadav","Department of Physics, Indian Institute of Technology Roorkee"
